Price,Close,High,Low,Open,Volume,5_Month_MA,10_Month_MA,20_Month_MA,30_Month_MA,60_Month_MA,120_Month_MA,233_Month_MA,5_Month_MA_Slope,10_Month_MA_Slope,20_Month_MA_Slope,30_Month_MA_Slope,60_Month_MA_Slope,120_Month_MA_Slope,233_Month_MA_Slope
Ticker,399001.SZ,399001.SZ,399001.SZ,399001.SZ,399001.SZ,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2001-10-01,3438.49169921875,3615.11961309768,3124.5352380645086,3490.231112695659,0,3914.614208984375,4339.536450195313,4524.278356933593,4323.5936279296875,,,,-283.7848632812502,-131.42050781249964,-52.280908203125364,21.502099609375364,,,
2001-11-01,3513.71044921875,3514.000485016569,3146.72458982488,3445.9211732011468,0,3673.986865234375,4216.5758056640625,4473.350915527344,4331.706860351563,,,,-240.62734375000036,-122.96064453125018,-50.92744140624927,8.113232421875182,,,
2001-12-01,3325.62255859375,3613.679381722605,3245.463546833361,3521.2404785935346,0,3527.31845703125,4103.829028320312,4405.476184082031,4285.803702799479,,,,-146.66840820312473,-112.74677734375018,-67.87473144531305,-45.90315755208394,,,
2002-01-01,2982.66650390625,3319.21277874468,2661.880062104561,3319.172740131168,0,3351.81640625,3905.5022216796874,4322.454089355469,4250.382421875,,,,-175.5020507812501,-198.3268066406249,-83.0220947265625,-35.421280924479106,,,
2002-02-01,3029.4560546875,3104.3353428532164,2944.2270289424846,2987.6364547854873,0,3257.989453125,3728.1942626953123,4232.396105957031,4212.892496744792,,,,-93.82695312499982,-177.3079589843751,-90.0579833984375,-37.489925130207666,,,
2002-03-01,3173.8642578125,3393.4018313272436,2969.7767060966025,3022.3161551073927,0,3205.06396484375,3559.8390869140626,4146.385559082031,4186.428116861979,,,,-52.92548828125018,-168.35517578124973,-86.01054687499982,-26.464379882812864,,,
2002-04-01,3253.423583984375,3275.8732841432266,3082.295614576005,3161.0647533792476,0,3153.006591796875,3413.496728515625,4067.7444580078127,4170.143294270833,,,,-52.057373046875,-146.34235839843768,-78.64110107421857,-16.284822591145712,,,
2002-05-01,3036.966064453125,3266.9735040786554,3014.6362358452184,3254.983647820861,0,3095.27529296875,3311.296875,3993.4122680664063,4153.577482096354,,,,-57.73129882812509,-102.19985351562491,-74.33218994140634,-16.565812174479106,,,
2002-06-01,3551.290283203125,3575.830047278813,2948.676918758951,3027.996098286296,0,3209.000048828125,3280.4082275390624,3942.3183349609376,4159.634741210937,,,,113.72475585937491,-30.88864746093759,-51.09393310546875,6.057259114582848,,,
2002-07-01,3405.661865234375,3586.0199556894363,3389.83220827501,3556.490256626835,0,3284.2412109375,3271.11533203125,3871.0361450195314,4141.411287434896,3926.211865234375,,,75.24116210937518,-9.292895507812318,-71.28218994140616,-18.223453776041424,,,
2002-08-01,3436.8017578125,3499.6409007279954,3349.2526854046114,3398.8920243634493,0,3336.8287109375,3270.946337890625,3805.2413940429688,4106.5010172526045,3910.1805501302083,,,52.58750000000009,-0.16899414062527285,-65.79475097656268,-34.91027018229124,-16.03131510416688,,
2002-09-01,3243.8935546875,3465.0312115732827,3236.183680208368,3438.1413763965706,0,3334.922705078125,3243.9646484375,3730.270227050781,4063.5554931640627,3898.9635091145833,,,-1.906005859375,-26.981689453125,-74.97116699218759,-42.94552408854179,-11.217041015625,,
2002-10-01,3036.14599609375,3227.4238874434195,2989.746612364211,3227.4238874434195,0,3334.75869140625,3215.0169921875,3659.4230102539063,4008.656453450521,3874.178116861979,,,-0.1640136718751819,-28.94765624999991,-70.84721679687482,-54.8990397135417,-24.785392252604197,,
